HeapSort,4,4,135,25,115
QuickSort,5,5,150,5,125
MergeSort,6,5,173,0,145
BubbleSort,7,7,198,10,163
SelectionSort,9,9,238,15,193
InsertionSort,9,9,243,20,198
BogoSort,13,12,298,30,198
HeapSort,4,4,135,25,115
QuickSort,5,5,150,5,125
MergeSort,6,5,173,0,145
BubbleSort,7,7,198,10,163
SelectionSort,9,9,238,15,193
InsertionSort,9,9,243,20,198
BogoSort,13,12,298,30,198
HeapSort,4,4,135,25,115
QuickSort,5,5,150,5,125
MergeSort,6,5,173,0,145
BubbleSort,7,7,218,10,183
SelectionSort,8,8,223,15,178
InsertionSort,9,9,238,20,193
BogoSort,15,14,298,30,198
HeapSort,4,4,135,25,115
QuickSort,5,5,150,5,125
MergeSort,6,5,173,0,145
BubbleSort,7,7,218,10,183
SelectionSort,8,8,223,15,178
InsertionSort,9,9,238,20,193
BogoSort,15,14,298,30,198
HeapSort,4,4,135,25,115
QuickSort,5,5,150,5,125
MergeSort,6,5,173,0,145
BubbleSort,7,7,218,10,183
SelectionSort,8,8,223,15,178
InsertionSort,9,9,238,20,193
BogoSort,15,14,298,30,198
HeapSort,4,4,135,25,115
QuickSort,5,5,150,5,125
MergeSort,6,5,173,0,145
BubbleSort,7,7,218,10,183
SelectionSort,8,8,223,15,178
InsertionSort,9,9,238,20,193
BogoSort,15,14,298,30,198
HeapSort,4,4,135,25,115
QuickSort,5,5,150,5,125
MergeSort,6,5,173,0,145
BubbleSort,7,7,218,10,183
SelectionSort,8,8,223,15,178
InsertionSort,9,9,238,20,193
BogoSort,15,14,298,30,198
